subject,split,coronal_index,image,mask,cerebellum_pixels,has_cerebellum
OASIS-TRT-20-20,train,0,images/train/OASIS-TRT-20-20_coronal-000.png,masks/train/OASIS-TRT-20-20_coronal-000.png,0,0
OASIS-TRT-20-20,train,1,images/train/OASIS-TRT-20-20_coronal-001.png,masks/train/OASIS-TRT-20-20_coronal-001.png,0,0
OASIS-TRT-20-20,train,2,images/train/OASIS-TRT-20-20_coronal-002.png,masks/train/OASIS-TRT-20-20_coronal-002.png,0,0
OASIS-TRT-20-20,train,3,images/train/OASIS-TRT-20-20_coronal-003.png,masks/train/OASIS-TRT-20-20_coronal-003.png,0,0
OASIS-TRT-20-20,train,4,images/train/OASIS-TRT-20-20_coronal-004.png,masks/train/OASIS-TRT-20-20_coronal-004.png,0,0
OASIS-TRT-20-20,train,5,images/train/OASIS-TRT-20-20_coronal-005.png,masks/train/OASIS-TRT-20-20_coronal-005.png,0,0
OASIS-TRT-20-20,train,6,images/train/OASIS-TRT-20-20_coronal-006.png,masks/train/OASIS-TRT-20-20_coronal-006.png,0,0
OASIS-TRT-20-20,train,7,images/train/OASIS-TRT-20-20_coronal-007.png,masks/train/OASIS-TRT-20-20_coronal-007.png,0,0
OASIS-TRT-20-20,train,8,images/train/OASIS-TRT-20-20_coronal-008.png,masks/train/OASIS-TRT-20-20_coronal-008.png,0,0
OASIS-TRT-20-20,train,9,images/train/OASIS-TRT-20-20_coronal-009.png,masks/train/OASIS-TRT-20-20_coronal-009.png,0,0
OASIS-TRT-20-20,train,10,images/train/OASIS-TRT-20-20_coronal-010.png,masks/train/OASIS-TRT-20-20_coronal-010.png,0,0
OASIS-TRT-20-20,train,11,images/train/OASIS-TRT-20-20_coronal-011.png,masks/train/OASIS-TRT-20-20_coronal-011.png,0,0
OASIS-TRT-20-20,train,12,images/train/OASIS-TRT-20-20_coronal-012.png,masks/train/OASIS-TRT-20-20_coronal-012.png,0,0
OASIS-TRT-20-20,train,13,images/train/OASIS-TRT-20-20_coronal-013.png,masks/train/OASIS-TRT-20-20_coronal-013.png,0,0
OASIS-TRT-20-20,train,14,images/train/OASIS-TRT-20-20_coronal-014.png,masks/train/OASIS-TRT-20-20_coronal-014.png,0,0
OASIS-TRT-20-20,train,15,images/train/OASIS-TRT-20-20_coronal-015.png,masks/train/OASIS-TRT-20-20_coronal-015.png,0,0
OASIS-TRT-20-20,train,16,images/train/OASIS-TRT-20-20_coronal-016.png,masks/train/OASIS-TRT-20-20_coronal-016.png,0,0
OASIS-TRT-20-20,train,17,images/train/OASIS-TRT-20-20_coronal-017.png,masks/train/OASIS-TRT-20-20_coronal-017.png,0,0
OASIS-TRT-20-20,train,18,images/train/OASIS-TRT-20-20_coronal-018.png,masks/train/OASIS-TRT-20-20_coronal-018.png,0,0
OASIS-TRT-20-20,train,19,images/train/OASIS-TRT-20-20_coronal-019.png,masks/train/OASIS-TRT-20-20_coronal-019.png,0,0
OASIS-TRT-20-20,train,20,images/train/OASIS-TRT-20-20_coronal-020.png,masks/train/OASIS-TRT-20-20_coronal-020.png,0,0
OASIS-TRT-20-20,train,21,images/train/OASIS-TRT-20-20_coronal-021.png,masks/train/OASIS-TRT-20-20_coronal-021.png,0,0
OASIS-TRT-20-20,train,22,images/train/OASIS-TRT-20-20_coronal-022.png,masks/train/OASIS-TRT-20-20_coronal-022.png,0,0
OASIS-TRT-20-20,train,23,images/train/OASIS-TRT-20-20_coronal-023.png,masks/train/OASIS-TRT-20-20_coronal-023.png,0,0
OASIS-TRT-20-20,train,24,images/train/OASIS-TRT-20-20_coronal-024.png,masks/train/OASIS-TRT-20-20_coronal-024.png,0,0
OASIS-TRT-20-20,train,25,images/train/OASIS-TRT-20-20_coronal-025.png,masks/train/OASIS-TRT-20-20_coronal-025.png,0,0
OASIS-TRT-20-20,train,26,images/train/OASIS-TRT-20-20_coronal-026.png,masks/train/OASIS-TRT-20-20_coronal-026.png,0,0
OASIS-TRT-20-20,train,27,images/train/OASIS-TRT-20-20_coronal-027.png,masks/train/OASIS-TRT-20-20_coronal-027.png,0,0
OASIS-TRT-20-20,train,28,images/train/OASIS-TRT-20-20_coronal-028.png,masks/train/OASIS-TRT-20-20_coronal-028.png,0,0
OASIS-TRT-20-20,train,29,images/train/OASIS-TRT-20-20_coronal-029.png,masks/train/OASIS-TRT-20-20_coronal-029.png,0,0
OASIS-TRT-20-20,train,30,images/train/OASIS-TRT-20-20_coronal-030.png,masks/train/OASIS-TRT-20-20_coronal-030.png,0,0
OASIS-TRT-20-20,train,31,images/train/OASIS-TRT-20-20_coronal-031.png,masks/train/OASIS-TRT-20-20_coronal-031.png,0,0
OASIS-TRT-20-20,train,32,images/train/OASIS-TRT-20-20_coronal-032.png,masks/train/OASIS-TRT-20-20_coronal-032.png,0,0
OASIS-TRT-20-20,train,33,images/train/OASIS-TRT-20-20_coronal-033.png,masks/train/OASIS-TRT-20-20_coronal-033.png,0,0
OASIS-TRT-20-20,train,34,images/train/OASIS-TRT-20-20_coronal-034.png,masks/train/OASIS-TRT-20-20_coronal-034.png,0,0
OASIS-TRT-20-20,train,35,images/train/OASIS-TRT-20-20_coronal-035.png,masks/train/OASIS-TRT-20-20_coronal-035.png,0,0
OASIS-TRT-20-20,train,36,images/train/OASIS-TRT-20-20_coronal-036.png,masks/train/OASIS-TRT-20-20_coronal-036.png,0,0
OASIS-TRT-20-20,train,37,images/train/OASIS-TRT-20-20_coronal-037.png,masks/train/OASIS-TRT-20-20_coronal-037.png,0,0
OASIS-TRT-20-20,train,38,images/train/OASIS-TRT-20-20_coronal-038.png,masks/train/OASIS-TRT-20-20_coronal-038.png,0,0
OASIS-TRT-20-20,train,39,images/train/OASIS-TRT-20-20_coronal-039.png,masks/train/OASIS-TRT-20-20_coronal-039.png,0,0
OASIS-TRT-20-20,train,40,images/train/OASIS-TRT-20-20_coronal-040.png,masks/train/OASIS-TRT-20-20_coronal-040.png,0,0
OASIS-TRT-20-20,train,41,images/train/OASIS-TRT-20-20_coronal-041.png,masks/train/OASIS-TRT-20-20_coronal-041.png,0,0
OASIS-TRT-20-20,train,42,images/train/OASIS-TRT-20-20_coronal-042.png,masks/train/OASIS-TRT-20-20_coronal-042.png,0,0
OASIS-TRT-20-20,train,43,images/train/OASIS-TRT-20-20_coronal-043.png,masks/train/OASIS-TRT-20-20_coronal-043.png,0,0
OASIS-TRT-20-20,train,44,images/train/OASIS-TRT-20-20_coronal-044.png,masks/train/OASIS-TRT-20-20_coronal-044.png,0,0
OASIS-TRT-20-20,train,45,images/train/OASIS-TRT-20-20_coronal-045.png,masks/train/OASIS-TRT-20-20_coronal-045.png,0,0
OASIS-TRT-20-20,train,46,images/train/OASIS-TRT-20-20_coronal-046.png,masks/train/OASIS-TRT-20-20_coronal-046.png,0,0
OASIS-TRT-20-20,train,47,images/train/OASIS-TRT-20-20_coronal-047.png,masks/train/OASIS-TRT-20-20_coronal-047.png,0,0
OASIS-TRT-20-20,train,48,images/train/OASIS-TRT-20-20_coronal-048.png,masks/train/OASIS-TRT-20-20_coronal-048.png,0,0
OASIS-TRT-20-20,train,49,images/train/OASIS-TRT-20-20_coronal-049.png,masks/train/OASIS-TRT-20-20_coronal-049.png,0,0
OASIS-TRT-20-20,train,50,images/train/OASIS-TRT-20-20_coronal-050.png,masks/train/OASIS-TRT-20-20_coronal-050.png,0,0
OASIS-TRT-20-20,train,51,images/train/OASIS-TRT-20-20_coronal-051.png,masks/train/OASIS-TRT-20-20_coronal-051.png,0,0
OASIS-TRT-20-20,train,52,images/train/OASIS-TRT-20-20_coronal-052.png,masks/train/OASIS-TRT-20-20_coronal-052.png,8,1
OASIS-TRT-20-20,train,53,images/train/OASIS-TRT-20-20_coronal-053.png,masks/train/OASIS-TRT-20-20_coronal-053.png,53,1
OASIS-TRT-20-20,train,54,images/train/OASIS-TRT-20-20_coronal-054.png,masks/train/OASIS-TRT-20-20_coronal-054.png,141,1
OASIS-TRT-20-20,train,55,images/train/OASIS-TRT-20-20_coronal-055.png,masks/train/OASIS-TRT-20-20_coronal-055.png,218,1
OASIS-TRT-20-20,train,56,images/train/OASIS-TRT-20-20_coronal-056.png,masks/train/OASIS-TRT-20-20_coronal-056.png,339,1
OASIS-TRT-20-20,train,57,images/train/OASIS-TRT-20-20_coronal-057.png,masks/train/OASIS-TRT-20-20_coronal-057.png,492,1
OASIS-TRT-20-20,train,58,images/train/OASIS-TRT-20-20_coronal-058.png,masks/train/OASIS-TRT-20-20_coronal-058.png,665,1
OASIS-TRT-20-20,train,59,images/train/OASIS-TRT-20-20_coronal-059.png,masks/train/OASIS-TRT-20-20_coronal-059.png,853,1
OASIS-TRT-20-20,train,60,images/train/OASIS-TRT-20-20_coronal-060.png,masks/train/OASIS-TRT-20-20_coronal-060.png,1046,1
OASIS-TRT-20-20,train,61,images/train/OASIS-TRT-20-20_coronal-061.png,masks/train/OASIS-TRT-20-20_coronal-061.png,1245,1
OASIS-TRT-20-20,train,62,images/train/OASIS-TRT-20-20_coronal-062.png,masks/train/OASIS-TRT-20-20_coronal-062.png,1417,1
OASIS-TRT-20-20,train,63,images/train/OASIS-TRT-20-20_coronal-063.png,masks/train/OASIS-TRT-20-20_coronal-063.png,1627,1
OASIS-TRT-20-20,train,64,images/train/OASIS-TRT-20-20_coronal-064.png,masks/train/OASIS-TRT-20-20_coronal-064.png,1789,1
OASIS-TRT-20-20,train,65,images/train/OASIS-TRT-20-20_coronal-065.png,masks/train/OASIS-TRT-20-20_coronal-065.png,1956,1
OASIS-TRT-20-20,train,66,images/train/OASIS-TRT-20-20_coronal-066.png,masks/train/OASIS-TRT-20-20_coronal-066.png,2118,1
OASIS-TRT-20-20,train,67,images/train/OASIS-TRT-20-20_coronal-067.png,masks/train/OASIS-TRT-20-20_coronal-067.png,2262,1
OASIS-TRT-20-20,train,68,images/train/OASIS-TRT-20-20_coronal-068.png,masks/train/OASIS-TRT-20-20_coronal-068.png,2401,1
OASIS-TRT-20-20,train,69,images/train/OASIS-TRT-20-20_coronal-069.png,masks/train/OASIS-TRT-20-20_coronal-069.png,2483,1
OASIS-TRT-20-20,train,70,images/train/OASIS-TRT-20-20_coronal-070.png,masks/train/OASIS-TRT-20-20_coronal-070.png,2616,1
OASIS-TRT-20-20,train,71,images/train/OASIS-TRT-20-20_coronal-071.png,masks/train/OASIS-TRT-20-20_coronal-071.png,2723,1
OASIS-TRT-20-20,train,72,images/train/OASIS-TRT-20-20_coronal-072.png,masks/train/OASIS-TRT-20-20_coronal-072.png,2886,1
OASIS-TRT-20-20,train,73,images/train/OASIS-TRT-20-20_coronal-073.png,masks/train/OASIS-TRT-20-20_coronal-073.png,3037,1
OASIS-TRT-20-20,train,74,images/train/OASIS-TRT-20-20_coronal-074.png,masks/train/OASIS-TRT-20-20_coronal-074.png,3189,1
OASIS-TRT-20-20,train,75,images/train/OASIS-TRT-20-20_coronal-075.png,masks/train/OASIS-TRT-20-20_coronal-075.png,3258,1
OASIS-TRT-20-20,train,76,images/train/OASIS-TRT-20-20_coronal-076.png,masks/train/OASIS-TRT-20-20_coronal-076.png,3355,1
OASIS-TRT-20-20,train,77,images/train/OASIS-TRT-20-20_coronal-077.png,masks/train/OASIS-TRT-20-20_coronal-077.png,3434,1
OASIS-TRT-20-20,train,78,images/train/OASIS-TRT-20-20_coronal-078.png,masks/train/OASIS-TRT-20-20_coronal-078.png,3504,1
OASIS-TRT-20-20,train,79,images/train/OASIS-TRT-20-20_coronal-079.png,masks/train/OASIS-TRT-20-20_coronal-079.png,3566,1
OASIS-TRT-20-20,train,80,images/train/OASIS-TRT-20-20_coronal-080.png,masks/train/OASIS-TRT-20-20_coronal-080.png,3603,1
OASIS-TRT-20-20,train,81,images/train/OASIS-TRT-20-20_coronal-081.png,masks/train/OASIS-TRT-20-20_coronal-081.png,3669,1
OASIS-TRT-20-20,train,82,images/train/OASIS-TRT-20-20_coronal-082.png,masks/train/OASIS-TRT-20-20_coronal-082.png,3745,1
